title,description,regular_cost_ex_gst,regular_cost_plus_gst,markdown_cost_ex_gst,markdown_cost_plus_gst,markdown_percent,stock_availability,product_page_url,primary_image_url,additional_image_urls,source_table_page,checked_at_utc,scrape_status
WIO Wild Red Nano Stone 1.5 kg,"1.5kg bag – Wild Red Nano Stone brings earthy red warmth and volcanic texture to your aquarium, paludarium, or terrarium,",16.35,17.99,12.26,13.49,25.02,,https://daluawholesale.com.au/product/wio-wild-red-nano-stone-1-5-kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wioWildRedLavaNanoRock4_5091cda3-4934-43b1-a091-c976d148518e.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.437059+00:00,ok
WIO Darwin Black Nano Stone 1.5 kg,"1.5kg bag – Darwin Black Nano Stone brings volcanic texture and bold contrast to your aquarium, paludarium,",16.35,17.99,12.26,13.49,25.02,,https://daluawholesale.com.au/product/wio-darwin-black-nano-stone-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-DarwinBlackLavaStone4_cabf5d17-6b00-438f-8b90-86bd0eccdee4.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.437167+00:00,ok
WIO Titan Nano Rocks 2kg,"2kg bag – Titan Nano Stone brings striking texture, bold contrast, and miniature geological drama to your aquarium, 3 to 10 cm –",16.35,17.99,12.26,13.49,25.02,,https://daluawholesale.com.au/product/wio-titan-nano-rocks-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_nanorocks_titan_dry.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.437278+00:00,ok
WIO Black Ryuoh Nano Stone 2kg,"2kg Bag – Black Ryuoh Nano Stone brings bold contrast, sharp edges, and high-impact textures to your nano aquascapes",16.35,17.99,12.26,13.49,25.02,,https://daluawholesale.com.au/product/black-ryuoh-nano-stone-2-kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_nanorock_blackryuoh_dry_png.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.437386+00:00,ok
WIO Black Eonian Artist Florabed 1.5kg,"1.5kg Bag -Complete nutrition for aquatic plants — supplying vital macro and microelements that support long-term growth, strength, and colour.",18.17,19.99,13.63,14.99,24.99,,https://daluawholesale.com.au/product/wio-black-eonian-artist-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.437494+00:00,ok
WIO Black Eonian Artist ** Fine ** Florabed 1.5kg,"1.5kg Bag -** Fine substrate ** Stable and fertile foundation for aquatic plants to root and flourish. It delivers a full range of macro and microelements, ensuring long-term health, vibrant color, and continuous growth.",19.99,21.99,14.99,16.49,25.01,,https://daluawholesale.com.au/product/wio-black-eonian-artist-fine-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.437627+00:00,ok
WIO Red Eonian Artist ** Fine ** Florabed 1.5kg,"1.5kg Bag -** Fine substrate ** Complete nutrition for aquatic plants — supplying vital macro and microelements that support long-term growth, strength, and colour.",19.99,21.99,14.99,16.49,25.01,,https://daluawholesale.com.au/product/wio-red-eonian-artist-fine-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.437751+00:00,ok
WIO Red Eonian Artist Florabed 3kg,"3kg Bag – Complete nutrition for aquatic plants — supplying vital macro and microelements that support long-term growth, strength, and colour.",33.31,36.64,24.98,27.48,25.01,,https://daluawholesale.com.au/product/wio-red-eonian-artist-florabed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.437866+00:00,ok
WIO Red Eonian Artist Florabed 1.5kg,"1.5kg Bag -Complete nutrition for aquatic plants — supplying vital macro and microelements that support long-term growth, strength, and colour.",18.17,19.99,13.63,14.99,24.99,,https://daluawholesale.com.au/product/wio-eonian-artist-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.437987+00:00,ok
WIO Mustard Artist Florabed *Fine* 3kg,"3kg Bag – ** FINE substrate ** Crafted from 100% natural clay raw materials, Artist Mustard provides a complete nutrient supply of macro and microelements essential for healthy plant growth",24.32,26.75,18.24,20.06,25.00,,https://daluawholesale.com.au/product/wio-mustard-artist-florabed-fine-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/mustard-fine-soil.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.438118+00:00,ok
WIO Mustard Artist Florabed **Fine** 1.5kg,"1.5kg Bag – ** FINE substrate ** Crafted from 100% natural clay raw materials, Artist Mustard provides a complete nutrient supply of macro and microelements essential for healthy plant growth",19.99,21.99,14.99,16.49,25.01,,https://daluawholesale.com.au/product/wio-mustard-artist-florabed-fine-1-5kg-copy/,https://daluawholesale.com.au/wp-content/uploads/2025/10/mustard-fine-soil.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.438249+00:00,ok
WIO Mustard Artist Florabed 3kg,"3kg Bag – Crafted from 100% natural clay raw materials, Artist Mustard provides a complete nutrient supply of macro and microelements essential for healthy plant growth",36.64,40.30,27.48,30.23,25.00,,https://daluawholesale.com.au/product/wio-mustard-artist-florabed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-ArtistMustard2.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.438491+00:00,ok
WIO Mustard Artist Florabed 1.5kg,"1.5kg Bag – Crafted from 100% natural clay raw materials, Artist Mustard provides a complete nutrient supply of macro and microelements essential for healthy plant growth",19.99,21.99,14.99,16.49,25.01,,https://daluawholesale.com.au/product/wio-mustard-artist-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-ArtistMustard2.webp,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.438611+00:00,ok
