classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.538,WIO Jade Bliss River Bed 5kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-jade-bliss-river-bed-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio jade bliss river bed,2
missing,0.605,WRGB Slim LED 120cm,122.32,134.55,91.74,100.91,https://daluawholesale.com.au/product/wrgb-slim-led-120cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.619,WRGB Slim LED 90cm,94.08,103.49,70.56,77.62,https://daluawholesale.com.au/product/wrgb-slim-led-90cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.619,WRGB Slim LED 60cm,71.87,79.06,53.90,59.29,https://daluawholesale.com.au/product/wrgb-slim-led-60cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.619,WRGB Slim LED 45cm,65.11,71.62,48.83,53.71,https://daluawholesale.com.au/product/wrgb-slim-led-45cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.619,WRGB Slim LED 30cm,50.69,55.76,38.02,41.82,https://daluawholesale.com.au/product/wrgb-slim-led-30cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.494,Pixel SINGLE Bundle FRAGGER 5% Discount,232.98,256.28,202.59,222.85,https://daluawholesale.com.au/product/pixel-single-bundle-fragger-5-discount/,https://daluawholesale.com.au/wp-content/uploads/2025/08/1497_SinglePixelBundle-_1.png,,,,,,exclude,supplier promotion/non-retail,pixel single bundle fragger 5 discount,
missing,0.512,Pixel NANO Single Bundle FRAGGER 5% Discount,172.89,190.18,150.34,165.37,https://daluawholesale.com.au/product/pixel-nano-single-bundle-fragger-5-discount-copy/,https://daluawholesale.com.au/wp-content/uploads/2025/08/CHEAP_PIXEL_SET_1.png,,,,,,exclude,supplier promotion/non-retail,pixel nano single bundle fragger 5 discount,
missing,0.595,Drift Wood Large,31.54,34.69,25.23,27.75,https://daluawholesale.com.au/product/drift-wood-large-2/,https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-6.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,drift wood,3
missing,0.564,Drift Wood X Large,69.44,76.38,55.55,61.11,https://daluawholesale.com.au/product/drift-wood-x-large/,https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-2.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,drift wood,3
missing,0.579,Drift Wood Medium,12.46,13.71,9.97,10.97,https://daluawholesale.com.au/product/drift-wood-large/,https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-7.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,drift wood,3
